modality_pattern_code,modality_pattern,missing_modality_count,available_modality_count,visits,patients,labeled_visits,percentage,label_coverage_percentage
111,Image + X-ray + Text,0,3,4137,2803,3227,47.14529914529915,78.00338409475465
110,Image + X-ray,1,2,118,117,1,1.3447293447293447,0.847457627118644
101,Image + Text,1,2,4428,2817,3407,50.46153846153846,76.94218608852755
100,Image,2,1,89,85,3,1.0142450142450143,3.3707865168539324
011,X-ray + Text,1,2,1,1,1,0.011396011396011395,100.0
001,Text,2,1,2,1,2,0.02279202279202279,100.0
