scenario,description,missing_modalities,samples,macro_f1,micro_f1,auroc,accuracy,macro_f1_drop,micro_f1_drop,auroc_drop,accuracy_drop
A_complete,Image + X-ray + Text,,633,0.767646861342241,0.8760484622553588,0.9646367593359364,0.8120063191153238,0.0,0.0,0.0,0.0
B_missing_xray,Image + Text,radiograph,633,0.6751164871118377,0.8259693417493237,0.9609432899579468,0.7377567140600316,0.09253037423040333,0.050079120506035135,0.0036934693779896444,0.07424960505529221
C_missing_text,Image + X-ray,text,633,0.3558738829323363,0.5365853658536586,0.7508484192062088,0.4849921011058452,0.41177297840990473,0.33946309640170025,0.21378834012972758,0.32701421800947866
D_missing_multiple,Image Only,"radiograph,text",633,0.24408412610839647,0.2605570530098832,0.7199533299571778,0.20063191153238547,0.5235627352338446,0.6154914092454756,0.24468342937875864,0.6113744075829384
