modality,available_samples,missing_samples,available_percentage,missing_percentage
image,8772,3,99.96581196581197,0.03418803418803419
radiograph,4256,4519,48.5014245014245,51.4985754985755
text,8701,74,99.15669515669515,0.8433048433048433
