rank,label,train_visits,validation_visits,test_visits,total_visits,patients,train_pct,validation_pct,test_pct
1,Caries,660,139,156,955,810,69.10994764397905,14.554973821989527,16.335078534031414
2,Gingivitis,1357,328,302,1987,1691,68.29391041771515,16.50729743331656,15.198792148968293
3,Malocclusion,1833,370,385,2588,2023,70.82689335394127,14.296754250386398,14.876352395672335
4,Pulpitis,323,45,75,443,364,72.91196388261851,10.15801354401806,16.93002257336343
5,Tooth Loss,210,42,57,309,268,67.96116504854369,13.592233009708737,18.446601941747574
6,Tooth Structure Loss,742,157,143,1042,831,71.20921305182341,15.067178502879077,13.723608445297506
